so_cm,si_cm,yo_cm,yi_cm,My,Ms,Delta_pct
14.0,72.5,0.6,,,-5.2,
28.0,21.8,0.6,0.5,-0.8,-0.8,6.6
100.8,14.3,0.6,,,-0.1,
30.8,21.3,0.6,0.6,-1.0,-0.7,30.8
20.8,29.6,0.6,0.9,-1.5,-1.4,5.1
25.8,24.8,0.6,0.7,-1.2,-1.0,17.6
40.8,18.1,0.6,0.4,-0.7,-0.4,33.5
90.8,14.8,0.6,0.2,-0.3,-0.2,51.1
50.8,16.6,0.6,0.3,-0.5,-0.3,34.6
16.8,47.3,0.6,1.5,-2.5,-2.8,12.6
18.8,35.6,0.6,1.2,-2.0,-1.9,5.3
120.8,14.3,0.6,,,-0.1,
15.3,59.6,0.6,2.1,-3.5,-3.9,11.3
